date,mag,lat,lon
2021-03-29 20:27:23,5.5,34.3549,87.6921
2021-03-30 10:35:42,4.3,42.4699,16.0532
2021-03-30 19:25:00,4.0,47.7597,16.1965
2021-03-31 03:01:27,5.2,51.1814,100.3687
2021-03-31 15:24:14,4.1,36.5397,70.8651
2021-03-31 21:32:49,4.4,39.1406,71.3575
2021-03-31 23:34:23,4.3,33.1252,47.1113
2021-04-01 15:04:49,4.4,37.5087,70.3956
2021-04-01 15:33:40,4.7,36.2412,26.5129
2021-04-01 17:33:33,4.8,36.4139,7.1942
2021-04-01 19:51:09,4.2,36.7131,70.9939
2021-04-01 22:20:06,4.6,40.9088,79.0898
2021-04-02 10:55:53,4.7,35.6454,89.3989
2021-04-02 11:58:38,4.3,34.4826,87.6043
2021-04-02 14:37:13,4.1,31.7407,51.1961
2021-04-03 09:10:14,4.8,35.2141,22.7255
2021-04-03 23:05:57,4.4,39.6794,22.222
2021-04-04 07:55:34,4.3,38.0111,72.5755
2021-04-04 09:16:28,4.5,35.9507,69.7657
2021-04-04 14:18:17,4.2,34.0808,26.1747
2021-04-04 23:09:52,4.2,36.7677,75.7308
2021-04-05 05:14:22,4.3,36.8989,22.2557
2021-04-05 08:02:33,4.3,40.1867,19.8297
2021-04-05 14:33:28,4.7,39.5468,54.7538
2021-04-05 18:19:57,5.2,27.1863,88.9412
2021-04-06 04:36:55,3.9,26.8176,88.7828
2021-04-06 05:04:03,4.0,21.9881,94.3005
2021-04-06 07:11:42,4.0,34.5714,24.0953
2021-04-06 11:54:21,4.7,45.2099,16.2781
2021-04-06 18:12:25,5.2,35.6618,45.9925
2021-04-06 20:22:17,4.4,35.2114,59.1796
2021-04-07 00:48:35,5.0,31.8686,92.9137
2021-04-07 00:55:47,4.7,31.9628,92.9564
2021-04-07 01:00:59,4.3,31.9489,93.059
2021-04-07 05:06:07,4.1,41.5234,19.5141
2021-04-07 10:08:18,4.6,36.3122,27.1863
2021-04-08 00:54:57,4.2,36.426,27.102
2021-04-08 01:35:06,4.0,36.4352,27.1213
2021-04-08 03:33:48,4.5,36.463,27.1575
2021-04-08 18:23:05,4.2,36.3391,27.1309
2021-04-09 21:36:46,4.5,45.8044,26.6269
2021-04-10 18:18:24,4.1,28.062,66.6139
2021-04-10 21:21:48,4.7,31.6849,90.6416
2021-04-11 00:49:38,4.3,28.3413,67.2682
2021-04-11 01:53:58,4.5,38.3053,20.7079
2021-04-11 03:17:13,4.2,38.2472,20.6236
2021-04-11 17:06:37,4.1,40.8361,34.7499
2021-04-12 06:44:23,4.2,33.795,15.8932
2021-04-12 19:39:54,4.1,32.6037,22.9664
2021-04-13 07:28:07,4.4,36.1157,68.0527
2021-04-13 08:42:49,4.6,36.4947,70.8628
2021-04-13 12:07:38,4.1,23.9196,102.3209
2021-04-13 12:32:47,4.5,40.18,72.2629
2021-04-13 13:44:23,4.2,30.3274,70.5179
2021-04-13 23:28:02,5.3,36.5325,27.0593
2021-04-14 02:41:17,4.1,34.5245,70.126
2021-04-14 10:24:48,4.1,36.5179,70.837
2021-04-14 12:44:38,4.3,36.3109,70.5082
2021-04-15 07:10:20,4.5,39.239,26.0924
2021-04-15 07:33:34,4.6,42.4764,16.0722
2021-04-15 19:42:04,4.6,51.2438,100.3996
2021-04-16 01:26:24,4.6,32.4789,78.7499
2021-04-17 14:59:27,4.0,31.4497,21.2857
2021-04-17 20:08:00,5.0,36.4064,27.096
2021-04-17 23:46:09,4.1,42.2855,41.6282
2021-04-17 23:57:12,4.1,36.3324,27.0665
2021-04-18 01:31:04,4.1,35.2448,22.4818
2021-04-18 01:35:55,4.4,36.3455,27.1118
2021-04-18 09:41:49,5.8,29.7531,50.6784
2021-04-18 09:55:56,4.5,29.7996,50.5744
2021-04-18 10:03:07,4.2,29.5324,50.3724
2021-04-18 10:10:27,4.5,29.7215,50.4064
2021-04-18 10:54:51,4.3,41.961,67.1547
2021-04-18 10:59:36,4.5,29.8356,50.5342
2021-04-18 11:50:38,4.4,29.8914,50.6038
2021-04-18 16:24:32,5.1,22.5129,94.1955
2021-04-18 19:20:40,4.0,29.6881,50.3354
2021-04-18 19:26:26,4.2,36.3788,27.1475
2021-04-19 00:50:19,4.4,29.7809,50.4847
2021-04-19 01:17:46,4.7,29.7143,50.6416
2021-04-19 01:41:45,4.3,29.7666,50.5667
2021-04-19 01:43:50,4.4,29.7638,50.4596
2021-04-19 04:48:23,4.2,29.6112,50.411
2021-04-19 05:46:04,4.2,29.8231,50.3785
